TimeStamp,Produced(Wh),Consumed(Wh),Temp(F),SolarRadiation(W/m2)
2024-06-09 10:00:00,5517,1897,68,161
2024-06-09 11:00:00,1959,1199,66.5,62
2024-06-09 12:00:00,1655,925,66.4,86
2024-06-09 13:00:00,6335,1745,68.4,258
2024-06-09 14:00:00,12348,1288,68.8,444
2024-06-09 15:00:00,21102,1472,68.8,755
2024-06-09 16:00:00,16167,1447,70.6,645
2024-06-09 17:00:00,9802,1282,71.7,364
2024-06-09 18:00:00,3425,1495,71.9,27
2024-06-09 19:00:00,565,1275,68.6,16
2024-06-09 20:00:00,30,1690,62.3,4
2024-06-09 21:00:00,0,1730,58,0
2024-06-09 22:00:00,0,2100,55.2,0
2024-06-09 23:00:00,0,980,54.1,0
2024-06-10 0:00:00,0,1010,51.5,0
2024-06-10 1:00:00,0,1000,51.5,0
2024-06-10 2:00:00,0,940,53.8,0
2024-06-10 3:00:00,0,740,54.2,0
2024-06-10 4:00:00,0,1110,52.4,0
2024-06-10 5:00:00,157,757,53.3,3
2024-06-10 6:00:00,1348,968,61.9,22
2024-06-10 7:00:00,6398,1338,64.9,271
2024-06-10 8:00:00,13187,837,66.1,458
2024-06-10 9:00:00,18895,885,67.1,634
2024-06-10 10:00:00,23097,2047,67.4,749
2024-06-10 11:00:00,26539,1629,68.8,768
2024-06-10 12:00:00,27073,963,71.2,830
2024-06-10 13:00:00,26081,1021,72.5,835
2024-06-10 14:00:00,24242,1882,73.2,862
2024-06-10 15:00:00,20725,1205,73.3,671
2024-06-10 16:00:00,15027,1797,73.1,524
2024-06-10 17:00:00,6732,1752,69.7,254
2024-06-10 18:00:00,3283,2043,68.3,40
2024-06-10 19:00:00,564,1644,66.3,19
2024-06-10 20:00:00,34,3494,63.8,4
2024-06-10 21:00:00,0,3580,58.4,0
2024-06-10 22:00:00,0,2020,58.4,0
2024-06-10 23:00:00,0,1990,55.4,0
2024-06-11 0:00:00,0,1550,54.2,0
2024-06-11 1:00:00,0,1430,51.9,0
2024-06-11 2:00:00,0,1840,52.9,0
2024-06-11 3:00:00,0,1490,55.4,0
2024-06-11 4:00:00,0,1180,54.1,0
2024-06-11 5:00:00,175,885,53.5,3
2024-06-11 6:00:00,1611,931,61.4,25
2024-06-11 7:00:00,6668,1898,64.2,286
2024-06-11 8:00:00,9146,796,64.9,341
2024-06-11 9:00:00,13949,969,66.5,459
2024-06-11 10:00:00,15969,929,68.8,735
2024-06-11 11:00:00,22150,1180,71.3,819
2024-06-11 12:00:00,17952,862,72.3,949
2024-06-11 13:00:00,25729,1819,71.1,728
2024-06-11 14:00:00,23508,1838,70.9,625
2024-06-11 15:00:00,19018,2348,70.7,504
2024-06-11 16:00:00,8862,2042,70.7,337
2024-06-11 17:00:00,9772,1232,69.7,270
2024-06-11 18:00:00,3271,1151,67.7,44
2024-06-11 19:00:00,629,1069,65.5,19
2024-06-11 20:00:00,39,2869,62.8,5
2024-06-11 21:00:00,0,1430,59,0
2024-06-11 22:00:00,0,1700,58.4,0
2024-06-11 23:00:00,0,980,58.4,0
2024-06-12 0:00:00,0,2070,58.7,0
2024-06-12 1:00:00,0,2050,56.2,0
2024-06-12 2:00:00,0,1040,55.5,0
2024-06-12 3:00:00,0,1000,54.7,0
2024-06-12 4:00:00,0,960,57.9,0
2024-06-12 5:00:00,172,812,57.2,3
2024-06-12 6:00:00,1395,1125,62.6,25
2024-06-12 7:00:00,6237,897,66.2,262
2024-06-12 8:00:00,12716,1176,69.2,444
2024-06-12 9:00:00,18272,1202,71.9,616
2024-06-12 10:00:00,22154,1254,72.7,764
2024-06-12 11:00:00,24636,876,74.8,824
2024-06-12 12:00:00,25819,1289,74.6,844
2024-06-12 13:00:00,25470,1660,75.1,905
2024-06-12 14:00:00,21132,1852,74.3,399
2024-06-12 15:00:00,19710,1760,74.4,490
2024-06-12 16:00:00,14192,1742,71.9,294
2024-06-12 17:00:00,9566,1196,71.6,350
2024-06-12 18:00:00,3379,1309,69.2,57
2024-06-12 19:00:00,768,1378,67.6,27
2024-06-12 20:00:00,43,2343,65.8,6
2024-06-12 21:00:00,0,2090,65,0
2024-06-12 22:00:00,0,1720,64.9,0
2024-06-12 23:00:00,0,2140,64.2,0
2024-06-13 0:00:00,0,1400,59.4,0
2024-06-13 1:00:00,0,950,56,0
2024-06-13 2:00:00,0,1090,54.7,0
2024-06-13 3:00:00,0,840,54.3,0
2024-06-13 4:00:00,0,1590,53.6,0
2024-06-13 5:00:00,195,1225,53.7,4
2024-06-13 6:00:00,1403,923,62.8,30
2024-06-13 7:00:00,6188,1418,69.3,255
2024-06-13 8:00:00,12596,906,72.3,435
2024-06-13 9:00:00,17959,839,72.6,600
2024-06-13 10:00:00,22106,1116,73.2,730
2024-06-13 11:00:00,24448,2228,74.5,816
2024-06-13 12:00:00,25551,1561,76.2,902
2024-06-13 13:00:00,25385,1495,75.6,903
2024-06-13 14:00:00,22813,1053,75.5,824
2024-06-13 15:00:00,20758,988,75.5,775
2024-06-13 16:00:00,15594,1684,74.7,626
2024-06-13 17:00:00,9472,1282,73.2,348
2024-06-13 18:00:00,3399,1729,71.8,39
2024-06-13 19:00:00,716,1186,69.7,22
2024-06-13 20:00:00,49,2139,67.8,6
2024-06-13 21:00:00,0,1970,67.4,0
2024-06-13 22:00:00,0,1930,66.4,0
2024-06-13 23:00:00,0,2420,66.6,0
2024-06-14 0:00:00,0,900,66.6,0
2024-06-14 1:00:00,0,930,65.8,0
2024-06-14 2:00:00,0,1090,66.4,0
2024-06-14 3:00:00,0,1190,66.1,0
2024-06-14 4:00:00,0,950,65.8,0
2024-06-14 5:00:00,139,949,66.8,3
2024-06-14 6:00:00,1538,1158,68.8,33
2024-06-14 7:00:00,6450,1340,70.9,246
2024-06-14 8:00:00,11482,912,73,418
2024-06-14 9:00:00,17236,766,74.3,578
2024-06-14 10:00:00,21531,921,74.6,729
2024-06-14 11:00:00,23772,1572,75.8,819
2024-06-14 12:00:00,21711,2181,76.7,761
2024-06-14 13:00:00,21719,1649,75.2,579
2024-06-14 14:00:00,20055,2125,76.1,846
2024-06-14 15:00:00,18811,1121,75,668
2024-06-14 16:00:00,12292,822,73.8,491
2024-06-14 17:00:00,5211,1401,72.3,185
2024-06-14 18:00:00,1239,899,70.4,97
2024-06-14 19:00:00,343,843,69.6,28
2024-06-14 20:00:00,0,2170,66.3,0
2024-06-14 21:00:00,0,1170,65.9,0
2024-06-14 22:00:00,0,1010,65.7,0
2024-06-14 23:00:00,0,970,65.7,0
2024-06-15 0:00:00,0,1290,65,0
2024-06-15 1:00:00,0,1140,64.7,0
2024-06-15 2:00:00,0,1000,64.6,0
2024-06-15 3:00:00,0,1000,65,0
2024-06-15 4:00:00,0,850,64.9,0
2024-06-15 5:00:00,126,996,63.9,2
2024-06-15 6:00:00,1334,1364,66.3,25
2024-06-15 7:00:00,6098,1048,68.5,257
2024-06-15 8:00:00,12564,764,70.4,432
2024-06-15 9:00:00,18486,806,73,624
2024-06-15 10:00:00,22558,1498,74.8,781
2024-06-15 11:00:00,24940,1050,76.5,877
2024-06-15 12:00:00,25961,2431,77.3,932
2024-06-15 13:00:00,25562,2352,77.2,941
2024-06-15 14:00:00,23874,1214,78,899
2024-06-15 15:00:00,20667,1067,77.9,807
2024-06-15 16:00:00,15949,1109,77.4,661
2024-06-15 17:00:00,9826,1316,77.4,353
2024-06-15 18:00:00,3426,936,76.1,32
2024-06-15 19:00:00,658,2078,70.1,20
2024-06-15 20:00:00,51,1181,62.5,6
2024-06-15 21:00:00,0,1180,58.7,0
2024-06-15 22:00:00,0,1100,55.5,0
2024-06-15 23:00:00,0,1700,53.8,0
2024-06-16 0:00:00,0,800,53.6,0
2024-06-16 1:00:00,0,1030,56.7,0
2024-06-16 2:00:00,0,1040,62.2,0
2024-06-16 3:00:00,0,2070,61.1,0
2024-06-16 4:00:00,0,850,60.2,0
2024-06-16 5:00:00,223,1003,60,6
2024-06-16 6:00:00,1601,811,63,37
2024-06-16 7:00:00,6460,2160,65.6,275
2024-06-16 8:00:00,13211,951,67.5,453
2024-06-16 9:00:00,18572,892,68.9,635
2024-06-16 10:00:00,22588,1128,70.8,772
2024-06-16 11:00:00,25259,969,69.8,882
2024-06-16 12:00:00,26140,1230,69.9,939
2024-06-16 13:00:00,23218,1728,69.4,895
2024-06-16 14:00:00,23469,1099,68.9,837
2024-06-16 15:00:00,18015,2525,68.6,701
2024-06-16 16:00:00,16260,1410,68,639
2024-06-16 17:00:00,9090,1160,66.7,364
2024-06-16 18:00:00,3690,1150,66.6,66
2024-06-16 19:00:00,620,1640,64.6,18
2024-06-16 20:00:00,40,970,60.8,5
2024-06-16 21:00:00,0,2330,57.6,0
2024-06-16 22:00:00,0,1540,56.2,0
2024-06-16 23:00:00,0,1710,55.1,0
2024-06-17 0:00:00,0,880,54.5,0
2024-06-17 1:00:00,0,930,54.2,0
2024-06-17 2:00:00,0,1130,54.4,0
2024-06-17 3:00:00,0,780,53.7,0
2024-06-17 4:00:00,0,750,54,0
2024-06-17 5:00:00,183,1203,54.8,3
2024-06-17 6:00:00,1418,1738,63.9,43
2024-06-17 7:00:00,6053,953,68.8,208
2024-06-17 8:00:00,11783,933,71.5,380
2024-06-17 9:00:00,14635,1025,72.6,345
2024-06-17 10:00:00,22004,894,73.8,732
2024-06-17 11:00:00,24806,996,74.9,834
2024-06-17 12:00:00,25579,1279,75.2,888
2024-06-17 13:00:00,25398,1328,75.7,897
2024-06-17 14:00:00,23638,1058,76.3,848
2024-06-17 15:00:00,20169,1269,75.9,752
2024-06-17 16:00:00,14998,898,73.9,580
2024-06-17 17:00:00,9357,917,73.7,325
2024-06-17 18:00:00,3650,1310,71.8,58
2024-06-17 19:00:00,808,1218,70.4,30
2024-06-17 20:00:00,50,1000,69.5,8
2024-06-17 21:00:00,0,2150,68.7,0
2024-06-17 22:00:00,0,1340,68.9,0
2024-06-17 23:00:00,0,1920,68.7,0
2024-06-18 0:00:00,0,1720,68.8,0
2024-06-18 1:00:00,0,960,68.6,0
2024-06-18 2:00:00,0,1390,68.7,0
2024-06-18 3:00:00,0,980,68.6,0
2024-06-18 4:00:00,0,1070,68.7,0
2024-06-18 5:00:00,205,925,68.9,3
2024-06-18 6:00:00,1890,1010,70.8,41
2024-06-18 7:00:00,5387,1227,72.9,217
2024-06-18 8:00:00,10564,1494,74.3,385
2024-06-18 9:00:00,17119,1139,74.8,550
2024-06-18 10:00:00,20299,1049,75.6,638
2024-06-18 11:00:00,23382,1272,76.6,791
2024-06-18 12:00:00,24753,1043,77.6,853
2024-06-18 13:00:00,24646,1186,78,866
2024-06-18 14:00:00,22922,1242,77.1,828
2024-06-18 15:00:00,19994,1274,76.9,737
2024-06-18 16:00:00,15161,2591,76.5,602
2024-06-18 17:00:00,9168,1628,74.9,345
2024-06-18 18:00:00,3440,1280,73.8,44
2024-06-18 19:00:00,757,1377,71.6,24
2024-06-18 20:00:00,44,1134,69.9,5
2024-06-18 21:00:00,0,1190,69.9,0
2024-06-18 22:00:00,0,850,69.6,0
2024-06-18 23:00:00,0,900,69,0
2024-06-19 0:00:00,0,1030,69.1,0
2024-06-19 1:00:00,0,1070,69.6,0
2024-06-19 2:00:00,0,1040,69.4,0
2024-06-19 3:00:00,0,790,69.4,0
2024-06-19 4:00:00,0,810,68.6,0
2024-06-19 5:00:00,185,965,69.4,2
2024-06-19 6:00:00,2161,961,71.1,41
2024-06-19 7:00:00,4475,1945,73.1,177
2024-06-19 8:00:00,10416,946,75,422
2024-06-19 9:00:00,17524,1324,77.4,582
2024-06-19 10:00:00,21501,1061,78.2,722
2024-06-19 11:00:00,24174,1184,78,828
2024-06-19 12:00:00,24484,2194,78.8,868
2024-06-19 13:00:00,23964,1584,78.6,873
2024-06-19 14:00:00,22111,1911,78,782
2024-06-19 15:00:00,18554,1024,78.5,605
2024-06-19 16:00:00,15167,1607,77.7,592
2024-06-19 17:00:00,8438,1308,75.8,376
2024-06-19 18:00:00,2477,977,74.5,67
2024-06-19 19:00:00,904,1404,72.4,36
2024-06-19 20:00:00,41,2081,70.8,7
2024-06-19 21:00:00,0,1470,70.8,0
2024-06-19 22:00:00,0,880,71,0
2024-06-19 23:00:00,0,1090,70.9,0
2024-06-20 0:00:00,0,1300,70.8,0
2024-06-20 1:00:00,0,1940,70.5,0
2024-06-20 2:00:00,0,950,70.3,0
2024-06-20 3:00:00,0,1120,69.7,0
2024-06-20 4:00:00,0,950,69.6,0
2024-06-20 5:00:00,172,1092,69.7,3
2024-06-20 6:00:00,1368,1298,71.6,26
2024-06-20 7:00:00,5715,1705,73.1,239
2024-06-20 8:00:00,11877,987,75,417
2024-06-20 9:00:00,17358,1008,76.3,573
2024-06-20 10:00:00,20473,1273,78.5,733
2024-06-20 11:00:00,23750,1240,78.6,783
2024-06-20 12:00:00,25001,1291,80.6,878
2024-06-20 13:00:00,24537,1867,81.1,772
2024-06-20 14:00:00,21726,1846,81.1,841
2024-06-20 15:00:00,19654,1644,82.2,742
2024-06-20 16:00:00,15233,1843,78.9,610
2024-06-20 17:00:00,9422,1962,78.7,360
2024-06-20 18:00:00,3370,1210,77.1,38
2024-06-20 19:00:00,693,823,74,22
2024-06-20 20:00:00,52,1962,72.8,6
2024-06-20 21:00:00,0,1160,71.9,0
2024-06-20 22:00:00,0,970,71.6,0
2024-06-20 23:00:00,0,1030,71.6,0
2024-06-21 0:00:00,0,1440,70.9,0
2024-06-21 1:00:00,0,840,71.1,0
2024-06-21 2:00:00,0,1100,70.7,0
2024-06-21 3:00:00,0,890,71.3,0
2024-06-21 4:00:00,0,1060,70.6,0
2024-06-21 5:00:00,187,1117,70.2,3
2024-06-21 6:00:00,1494,1794,73.4,34
2024-06-21 7:00:00,5440,1050,78.2,217
2024-06-21 8:00:00,11244,844,82.1,404
2024-06-21 9:00:00,16675,1115,80.6,562
2024-06-21 10:00:00,20409,1379,82.3,700
2024-06-21 11:00:00,23285,975,83.1,808
2024-06-21 12:00:00,24518,998,83.7,859
2024-06-21 13:00:00,24170,900,81.8,859
2024-06-21 14:00:00,22490,1120,81.8,812
2024-06-21 15:00:00,19274,844,82.3,720
2024-06-21 16:00:00,13466,1856,81.5,592
2024-06-21 17:00:00,8086,2436,78.7,318
2024-06-21 18:00:00,2625,1585,77.5,110
2024-06-21 19:00:00,596,1166,77.6,41
2024-06-21 20:00:00,9,1729,76.1,4
2024-06-21 21:00:00,0,1440,74.2,0
2024-06-21 22:00:00,0,1500,73.4,0
2024-06-21 23:00:00,0,1270,72.5,0
2024-06-22 0:00:00,0,1340,71.5,0
2024-06-22 1:00:00,0,1150,71.7,0
2024-06-22 2:00:00,0,1370,71.7,0
2024-06-22 3:00:00,0,1320,71.6,0
2024-06-22 4:00:00,0,1460,71,0
2024-06-22 5:00:00,128,1028,71.5,3
2024-06-22 6:00:00,2190,1310,73.5,61
2024-06-22 7:00:00,5096,856,75.6,152
2024-06-22 8:00:00,10085,1055,78.3,271
2024-06-22 9:00:00,14834,1234,79.1,471
2024-06-22 10:00:00,11913,1873,80.5,513
2024-06-22 11:00:00,21439,1359,81.2,774
2024-06-22 12:00:00,22487,2157,81.1,834
2024-06-22 13:00:00,23617,2467,81.7,837
2024-06-22 14:00:00,20750,1300,81.8,776
2024-06-22 15:00:00,17479,1469,79.4,651
2024-06-22 16:00:00,8466,1386,78.7,366
2024-06-22 17:00:00,3145,1945,78.1,255
2024-06-22 18:00:00,1396,1226,76.8,90
2024-06-22 19:00:00,731,1231,74.5,35
2024-06-22 20:00:00,8,1098,72.2,6
2024-06-22 21:00:00,0,1300,72.5,0
2024-06-22 22:00:00,0,1190,72.3,0
2024-06-22 23:00:00,0,1270,72.3,0
2024-06-23 0:00:00,0,1180,73.4,0
2024-06-23 1:00:00,0,1370,72.7,0
2024-06-23 2:00:00,0,1670,73.6,0
2024-06-23 3:00:00,0,1510,74.1,0
2024-06-23 4:00:00,0,1530,73.3,0
2024-06-23 5:00:00,95,1475,73.1,1
2024-06-23 6:00:00,653,1023,73.5,19
2024-06-23 7:00:00,1283,1183,74.2,53
2024-06-23 8:00:00,3980,1270,75.2,110
2024-06-23 9:00:00,6854,1284,76.5,198
2024-06-23 10:00:00,12426,1666,79.7,459
2024-06-23 11:00:00,19500,1570,80.6,738
2024-06-23 12:00:00,22979,1689,81,804
2024-06-23 13:00:00,20324,1694,80.6,694
2024-06-23 14:00:00,20913,2563,80.7,795
2024-06-23 15:00:00,18822,1742,80.1,764
2024-06-23 16:00:00,14545,1825,79.2,552
2024-06-23 17:00:00,6062,1982,77.8,308
2024-06-23 18:00:00,3828,1348,76.5,114
2024-06-23 19:00:00,921,2531,75.6,48
2024-06-23 20:00:00,7,2927,75.5,5
2024-06-23 21:00:00,0,1880,74.3,0
2024-06-23 22:00:00,0,1500,73.7,0
2024-06-23 23:00:00,0,1990,73,0
2024-06-24 0:00:00,0,1490,72,0
2024-06-24 1:00:00,0,900,71.9,0
2024-06-24 2:00:00,0,1510,72.7,0
2024-06-24 3:00:00,0,1800,72.8,0
2024-06-24 4:00:00,0,1800,71.6,0
2024-06-24 5:00:00,218,1838,70.9,2
2024-06-24 6:00:00,1520,1800,73.4,34
2024-06-24 7:00:00,4243,1573,77.3,188
2024-06-24 8:00:00,10156,1906,79.9,396
2024-06-24 9:00:00,17322,2112,80.8,541
2024-06-24 10:00:00,21773,2653,80.8,734
2024-06-24 11:00:00,24443,2303,81.5,867
2024-06-24 12:00:00,24709,2619,82.5,925
2024-06-24 13:00:00,20923,2273,82,905
2024-06-24 14:00:00,17875,2415,79.9,668
2024-06-24 15:00:00,15588,2748,80.4,629
2024-06-24 16:00:00,15506,2636,79.5,645
2024-06-24 17:00:00,9203,2153,77.4,381.2
2024-06-24 18:00:00,3186,1656,72,207.5
2024-06-24 19:00:00,849,2279,70.5,85.7
2024-06-24 20:00:00,29,1639,69,3.6
2024-06-24 21:00:00,0,1500,68,0
2024-06-24 22:00:00,0,1450,68.3,0
2024-06-24 23:00:00,0,1020,67.6,0
2024-06-25 0:00:00,0,1680,68.6,0
2024-06-25 1:00:00,0,1140,68.5,0
2024-06-25 2:00:00,0,870,67.7,0
2024-06-25 3:00:00,0,1310,66.5,0
2024-06-25 4:00:00,0,1260,65.4,0
2024-06-25 5:00:00,162,942,65.3,59
2024-06-25 6:00:00,1291,1081,69,25
2024-06-25 7:00:00,5883,1653,72.9,247
2024-06-25 8:00:00,12289,1209,76.6,437
2024-06-25 9:00:00,17719,1639,79,609
2024-06-25 10:00:00,21611,1531,81.4,756
2024-06-25 11:00:00,24023,2973,85,864
2024-06-25 12:00:00,24885,2135,86.7,920
2024-06-25 13:00:00,24459,3059,88.5,921
2024-06-25 14:00:00,22660,2710,89.6,871
2024-06-25 15:00:00,19682,1922,87.6,732
2024-06-25 16:00:00,13318,1808,85.9,635
2024-06-25 17:00:00,8451,1361,81,294
2024-06-25 18:00:00,3921,1201,78.6,68
2024-06-25 19:00:00,1044,1994,75,35
2024-06-25 20:00:00,70,3070,72.8,9
2024-06-25 21:00:00,0,2810,71.4,0
2024-06-25 22:00:00,0,3710,71.6,0
2024-06-25 23:00:00,0,1910,71.1,0
2024-06-26 0:00:00,0,1680,70.4,0
2024-06-26 1:00:00,0,1170,70.7,0
2024-06-26 2:00:00,0,2200,71.1,0
2024-06-26 3:00:00,0,1300,70,0
2024-06-26 4:00:00,0,1440,68.4,0
2024-06-26 5:00:00,181,971,68.5,3
2024-06-26 6:00:00,1687,817,69.6,44
2024-06-26 7:00:00,5006,916,71.9,162
2024-06-26 8:00:00,10156,926,73.2,339
2024-06-26 9:00:00,13880,780,74.2,401
2024-06-26 10:00:00,16094,1024,75.5,499
2024-06-26 11:00:00,21135,1045,77.1,777
2024-06-26 12:00:00,19711,841,77.9,836
2024-06-26 13:00:00,12089,1349,77,799
2024-06-26 14:00:00,9585,355,75.1,834
2024-06-26 15:00:00,9430,810,74.6,736
2024-06-26 16:00:00,6559,1719,74.7,591
2024-06-26 17:00:00,3879,1419,73.9,333
2024-06-26 18:00:00,1569,1449,72.6,83
2024-06-26 19:00:00,382,2312,72.5,49
2024-06-26 20:00:00,31,1921,72.3,11
2024-06-26 21:00:00,0,2490,71.8,0
2024-06-26 22:00:00,0,1950,72.1,0
2024-06-26 23:00:00,0,1690,70.4,0
2024-06-27 0:00:00,0,1110,70.6,0
2024-06-27 1:00:00,0,1040,69.9,0
2024-06-27 2:00:00,0,990,69.5,0
2024-06-27 3:00:00,0,850,68.9,0
2024-06-27 4:00:00,0,1050,68.7,0
2024-06-27 5:00:00,39,1059,68.6,1
2024-06-27 6:00:00,680,1410,69.3,17
2024-06-27 7:00:00,1842,1312,69.4,75
2024-06-27 8:00:00,4495,875,70.3,148
2024-06-27 9:00:00,8453,913,71.5,311
2024-06-27 10:00:00,20879,1129,76,764
2024-06-27 11:00:00,23931,1301,77.9,886
2024-06-27 12:00:00,26144,1874,79.8,940
2024-06-27 13:00:00,25798,1248,79.2,675
2024-06-27 14:00:00,23582,1202,77.9,736
2024-06-27 15:00:00,19620,2240,78.2,769
2024-06-27 16:00:00,15956,2356,79.1,584
2024-06-27 17:00:00,9831,1721,77.1,359
2024-06-27 18:00:00,3526,2126,74.1,33
2024-06-27 19:00:00,685,845,72.4,20
2024-06-27 20:00:00,60,2320,70.5,6
2024-06-27 21:00:00,0,2930,72.1,0
2024-06-27 22:00:00,0,1990,70,0
2024-06-27 23:00:00,0,1270,68.7,0
2024-06-28 0:00:00,0,1060,66.6,0
2024-06-28 1:00:00,0,990,65.4,0
2024-06-28 2:00:00,0,1130,63.6,0
2024-06-28 3:00:00,0,830,61.5,0
2024-06-28 4:00:00,0,1030,60,0
2024-06-28 5:00:00,145,1015,57.9,3
2024-06-28 6:00:00,1225,1405,63.9,22
2024-06-28 7:00:00,6209,1319,65.2,263
2024-06-28 8:00:00,13134,954,67.8,451
2024-06-28 9:00:00,18605,985,68.3,621
2024-06-28 10:00:00,22803,953,69.9,780
2024-06-28 11:00:00,25119,1149,70.8,888
2024-06-28 12:00:00,26081,1021,72.3,945
2024-06-28 13:00:00,25585,1435,71.5,948
2024-06-28 14:00:00,24089,2109,71.8,893
2024-06-28 15:00:00,21303,1163,70.8,800
2024-06-28 16:00:00,16520,1300,69.8,653
2024-06-28 17:00:00,10363,2153,68.8,396
2024-06-28 18:00:00,3662,1702,66.9,27
2024-06-28 19:00:00,619,1049,65,17
2024-06-28 20:00:00,49,1029,60,5
2024-06-28 21:00:00,0,1810,56.6,0
2024-06-28 22:00:00,0,1300,57.7,0
2024-06-28 23:00:00,0,910,57.2,0
2024-06-29 0:00:00,0,860,56.4,0
2024-06-29 1:00:00,0,860,56.4,0
2024-06-29 2:00:00,0,1740,56.6,0
2024-06-29 3:00:00,0,1020,58.1,0
2024-06-29 4:00:00,0,1350,62.1,0
2024-06-29 5:00:00,3,1013,65.4,0
2024-06-29 6:00:00,344,1574,66.3,18
2024-06-29 7:00:00,833,1263,67.5,56
2024-06-29 8:00:00,3573,1083,68.4,164
2024-06-29 9:00:00,4176,1036,69.7,171
2024-06-29 10:00:00,12226,966,71.5,162
2024-06-29 11:00:00,15579,1549,72.6,330
2024-06-29 12:00:00,14190,2280,74.1,308
2024-06-29 13:00:00,19019,2069,74.8,592
2024-06-29 14:00:00,13115,1125,74.4,447
2024-06-29 15:00:00,13747,1977,75.6,531
2024-06-29 16:00:00,13538,1808,74.3,432
2024-06-29 17:00:00,7403,1143,74,260
2024-06-29 18:00:00,3013,1063,72.7,77
2024-06-29 19:00:00,549,1769,71.8,21
2024-06-29 20:00:00,0,1930,71.5,2
2024-06-29 21:00:00,0,1290,71.5,0
2024-06-29 22:00:00,0,1210,71.4,0
2024-06-29 23:00:00,0,1000,71.5,0
2024-06-30 0:00:00,0,1040,71.2,0
2024-06-30 1:00:00,0,1030,71,0
2024-06-30 2:00:00,0,1090,71.7,0
2024-06-30 3:00:00,0,1010,72.2,0
2024-06-30 4:00:00,0,2170,72.2,0
2024-06-30 5:00:00,0,2270,72.3,0
2024-06-30 6:00:00,113,1533,72.3,5
2024-06-30 7:00:00,652,732,73.1,28
2024-06-30 8:00:00,2043,1203,70.8,75
2024-06-30 9:00:00,2939,1079,72.4,99
2024-06-30 10:00:00,4352,1622,72.4,120
2024-06-30 11:00:00,11442,832,75,341
2024-06-30 12:00:00,11864,1694,74.8,380
2024-06-30 13:00:00,6209,1179,73.4,153
2024-06-30 14:00:00,8455,895,75.5,222
2024-06-30 15:00:00,11491,2361,79.4,348
2024-06-30 16:00:00,3489,2319,76.4,152
2024-06-30 17:00:00,598,1468,73.2,21
2024-06-30 18:00:00,453,1893,71.8,24
2024-06-30 19:00:00,19,1249,70.2,1
2024-06-30 20:00:00,71,1361,69.9,15
2024-06-30 21:00:00,0,1470,69,0
2024-06-30 22:00:00,0,1010,69.7,0
2024-06-30 23:00:00,0,1150,70.7,0
2024-07-01 0:00:00,0,1160,69.5,0
2024-07-01 1:00:00,0,1310,66.9,0
2024-07-01 2:00:00,0,1540,66,0
2024-07-01 3:00:00,0,1500,64.8,0
2024-07-01 4:00:00,0,890,63.1,0
2024-07-01 5:00:00,119,859,62.5,2
2024-07-01 6:00:00,1076,1086,65.6,19
2024-07-01 7:00:00,5817,1157,67.5,252
2024-07-01 8:00:00,12439,839,70.4,436
2024-07-01 9:00:00,18110,780,72.5,605
2024-07-01 10:00:00,22152,1262,73.9,693
2024-07-01 11:00:00,20793,1733,76.2,462
2024-07-01 12:00:00,13053,1803,77.8,620
2024-07-01 13:00:00,18549,1109,76.1,595
2024-07-01 14:00:00,17271,1101,78.9,701
2024-07-01 15:00:00,20484,1414,78.2,780
2024-07-01 16:00:00,14442,882,79.2,643
2024-07-01 17:00:00,9714,834,79.3,387
2024-07-01 18:00:00,4011,1511,73.7,30
2024-07-01 19:00:00,810,1360,71,19
2024-07-01 20:00:00,64,1844,66,5
2024-07-01 21:00:00,0,1470,63.7,0
2024-07-01 22:00:00,0,2350,62.6,0
2024-07-01 23:00:00,0,1590,61.6,0
2024-07-02 0:00:00,0,1050,63.3,0
2024-07-02 1:00:00,0,1200,63.9,0
2024-07-02 2:00:00,0,1400,64,0
2024-07-02 3:00:00,0,1190,62.1,0
2024-07-02 4:00:00,0,840,62.3,0
2024-07-02 5:00:00,109,989,59.5,2
2024-07-02 6:00:00,1211,1541,65.7,23
2024-07-02 7:00:00,5719,869,69.6,240
2024-07-02 8:00:00,12203,803,72.2,431
2024-07-02 9:00:00,17720,760,74.2,604
2024-07-02 10:00:00,21647,1067,76.4,754
2024-07-02 11:00:00,23796,1826,79.2,859
2024-07-02 12:00:00,25079,1499,80.3,920
2024-07-02 13:00:00,24895,1715,80.9,810
2024-07-02 14:00:00,23139,1719,80.5,451
2024-07-02 15:00:00,20097,1277,79.4,621
2024-07-02 16:00:00,15441,2001,79.4,654
2024-07-02 17:00:00,9778,1528,77.3,390
2024-07-02 18:00:00,3168,778,74.4,60
2024-07-02 19:00:00,1142,942,70.7,54
2024-07-02 20:00:00,45,1455,65.8,9
2024-07-02 21:00:00,0,910,63.4,0
2024-07-02 22:00:00,0,1480,61.2,0
2024-07-02 23:00:00,0,2020,59.3,0
2024-07-03 0:00:00,0,1340,56.8,0
2024-07-03 1:00:00,0,1360,55.6,0
2024-07-03 2:00:00,0,1330,54.4,0
2024-07-03 3:00:00,0,1230,53.7,0
2024-07-03 4:00:00,0,1110,53,0
2024-07-03 5:00:00,187,987,54.5,3
2024-07-03 6:00:00,1813,733,61.3,41
2024-07-03 7:00:00,4619,1669,69.2,153
2024-07-03 8:00:00,10978,918,73.1,247
2024-07-03 9:00:00,17447,1037,75.2,608
2024-07-03 10:00:00,21902,1002,75.8,748
2024-07-03 11:00:00,24519,1559,77,863
